proxy,err_count,status
195.201.226.34:4000,22,on
47.88.62.42:80,15,on
103.83.232.122:80,20,on
142.93.61.46:80,14,on
34.69.233.166:80,20,on
103.127.1.130:80,9,on
103.197.251.202:80,18,on
200.62.96.71:80,12,on
216.137.184.253:80,22,on
41.77.188.131:80,16,on
103.152.112.234:80,16,on
111.249.63.171:80,0,on
191.101.80.124:80,0,on
207.2.120.58:80,0,on
116.0.61.122:3128,1,on
162.223.94.164:80,0,on
37.238.98.255:80,1,on
134.209.29.120:8080,0,on
207.2.120.19:80,0,on
159.65.77.168:8585,2,on
148.76.97.250:80,2,on
75.89.101.62:80,0,on
103.77.60.14:80,0,on
137.184.197.190:80,2,on
138.197.148.215:80,0,on
47.241.30.25:80,0,on
82.223.102.92:9443,0,on
103.149.130.38:80,0,on
35.189.183.169:3128,0,on
103.49.202.252:80,0,on
68.178.161.107:80,1,on
23.238.33.186:80,1,on
194.182.163.117:3128,0,on
102.223.20.217:80,1,on
162.19.50.37:80,0,on
8.219.97.248:80,0,on
20.44.206.138:80,0,on
130.162.161.128:80,1,on
135.125.161.112:80,0,on
137.184.100.135:80,1,on
116.203.28.43:80,0,on
167.71.5.83:8080,2,on
185.208.206.182:3128,0,on
178.33.3.163:8080,0,on
